id,first_name,last_name,state_id,birthday,age,gender_id,acct_created_date
1,Claudia,Dunlap,9,1958-08-28,58,2,2008-03-09
2,Mary,Willis,34,1970-11-23,46,2,2008-03-25
3,Marcia,Jones,49,1959-11-22,57,2,2009-01-16
4,Michelle,Merrill,8,1966-12-20,50,2,2006-11-25
5,Fran,Reyes,17,1982-02-09,35,2,2006-11-10
6,Alberta,Carroll,2,1985-08-25,31,2,2010-09-19
7,Philip,Baker,4,1995-04-27,21,1,2012-01-30
8,Vanessa,Strickland,19,1980-06-01,36,2,2000-11-30
9,Willie,Wiggins,17,1983-08-29,33,1,2013-12-27
10,James,Willis,41,1968-09-06,48,1,2012-07-10
11,Rachel,Summers,27,1956-11-21,60,2,2003-12-24
12,Brian,Hernandez,31,1950-08-24,66,1,2003-07-03
13,Patricia,Evans,3,1985-12-14,31,2,2001-11-01
14,Kelly,Williams,26,1978-11-14,38,2,2006-12-30
15,Stanley,Sherman,25,1990-06-05,26,1,2004-02-04
16,Susan,Nelson,1,1990-01-15,27,2,2004-09-22
17,Lynn,Graham,48,2003-04-29,13,2,2015-11-27
18,Samuel,Bryant,7,1950-10-21,66,1,2006-10-13
19,Christy,Richardson,43,1981-10-18,35,2,2013-05-22
20,Patricia,Garcia,31,1989-02-15,28,2,2003-03-23
21,John,Brown,49,1983-04-22,33,1,2004-09-06
22,Dexter,Wilson,3,1980-12-18,36,1,2011-04-04
23,Mary,Mills,28,1958-03-02,59,2,2005-02-21
24,Valerie,Robinson,8,1976-09-26,40,2,2011-10-14
25,Loretta,Morrison,10,1991-11-19,25,2,2003-07-09
26,Shane,Hewitt,30,1977-12-07,39,1,2002-08-22
27,Cecil,Williams,29,1968-08-19,48,1,2003-12-13
28,Matthew,Carpenter,34,1985-03-30,31,1,2013-03-03
29,Brenda,Myers,18,1974-10-30,42,2,2013-12-02
30,Matthew,Torres,21,1957-05-30,59,1,2000-04-24
31,Donald,Jimenez,28,1984-12-14,32,1,2015-03-15
32,Mary,Richardson,42,1957-06-25,59,2,2009-01-16
33,Anthony,Hall,11,1977-02-05,40,1,2012-01-06
34,Karen,Walker,10,1999-08-06,17,2,2012-11-22
35,Regina,Short,37,1981-07-19,35,2,2006-06-12
36,Jeremy,Taylor,42,1971-12-05,45,1,2015-08-01
37,George,Nunez,31,2000-09-24,16,1,2013-07-18
38,Rod,Roberson,33,1962-02-16,55,1,2006-04-17
39,Joyce,Ruiz,17,1965-03-17,51,2,2010-02-23
40,Gloria,Deleon,17,2002-07-23,14,2,2012-06-13
41,Mary,Mckinney,39,1976-01-17,41,2,2001-10-30
42,Andrew,Lane,40,1983-08-07,33,1,2007-01-29
43,Shawn,Peters,48,1978-12-06,38,1,2005-08-15
44,Heather,Dudley,24,1996-03-29,20,2,2006-12-26
45,Jeffery,Humphrey,34,1991-06-11,25,1,2006-07-13
46,Michael,Colon,13,1979-05-01,37,1,2009-11-13
47,Gladys,Ryan,27,2000-09-12,16,2,2013-02-22
48,Robert,Moore,2,1950-04-02,66,1,2007-08-26
49,Virginia,Schmidt,39,1974-12-23,42,2,2011-08-05
50,Matthew,Collins,29,1965-05-13,51,1,2005-03-12
51,Marie,Flores,5,1997-02-07,20,2,2007-07-23
52,Kimberly,Williams,29,1981-11-01,35,2,2012-02-23
53,Adrian,Smith,19,1974-12-27,42,1,2002-11-10
54,Laura,Miller,28,1999-11-29,17,2,2013-06-22
55,Robert,Meyer,27,1990-10-18,26,1,2015-08-01
56,Tonya,Price,43,1974-12-27,42,2,2011-03-25
57,Reginald,Bennett,25,1954-03-07,62,1,2008-11-08
58,Matthew,Garcia,14,1999-04-28,17,1,2014-11-17
59,Brenda,Gonzalez,22,1957-12-16,59,2,2009-10-25
60,Diane,Franks,15,1986-08-31,30,2,2002-07-22
61,Eddie,Garcia,37,1959-10-11,57,2,2012-02-10
62,Dorothy,Leach,45,1973-08-27,43,2,2007-02-26
63,Jennie,Cantrell,21,1979-03-28,37,2,2015-10-06
64,Mitchell,Evans,17,1988-04-02,28,1,2007-11-02
65,Debra,Mitchell,42,1965-10-18,51,2,2007-08-02
66,Barbara,Martinez,31,1996-04-06,20,2,2015-12-24
67,Hector,Smith,29,1986-10-19,30,1,2003-08-17
68,Brittany,Lynch,2,1967-02-19,50,2,2002-08-11
69,Mildred,Hicks,8,1951-11-20,65,2,2003-04-02
70,Robert,Shaw,27,1990-11-21,26,1,2008-08-21
71,Kevin,Wilson,42,2002-12-27,14,1,2014-03-15
72,Emily,Fuller,44,1961-05-16,55,2,2007-07-03
73,Sharon,Lane,17,1997-09-26,19,2,2009-06-23
74,Fred,Taylor,22,1961-01-06,56,1,2000-07-06
75,Andy,Johnson,9,1968-06-07,48,1,2013-09-07
76,Joseph,Berger,3,1959-06-08,57,1,2013-08-21
77,Steven,Johnson,47,2004-01-08,13,1,2015-11-25
78,Aaron,Campbell,16,1954-04-27,62,1,2013-06-01
79,Thomas,Allen,40,1970-06-23,46,1,2010-12-27
80,Maria,French,17,1993-10-15,23,2,2011-08-18
81,Joseph,Murray,27,1980-04-05,36,1,2000-09-15
82,Autumn,Ingram,43,1960-12-05,56,2,2010-01-26
83,Ida,Cleveland,32,2002-03-24,14,2,2012-07-29
