id,first_name,last_name,state_id,birthday,age,gender_id,acct_created_date
1,Kara,Jones,27,1969-09-29,47,2,2007-07-18
2,Bobby,Mills,7,1990-06-25,26,1,2015-02-10
3,Heather,Charles,15,2002-02-15,15,2,2014-12-01
4,Robert,Workman,46,1954-08-02,62,1,2002-07-17
5,Judy,Fleming,11,1988-03-12,28,2,2007-11-03
6,Alexandra,Ingram,49,1970-09-06,46,2,2005-05-11
7,Mary,Johnson,50,1979-11-16,37,2,2015-12-14
8,Eric,Ferrell,47,1954-10-03,62,1,2001-12-19
9,Erica,Klein,47,1997-03-30,19,2,2008-12-21
10,Joseph,Kline,9,1973-01-29,44,1,2007-01-10
11,Janette,West,35,1950-09-13,66,2,2010-03-08
12,Ann,Gonzalez,31,1965-04-29,51,2,2014-04-06
13,Michele,Montgomery,2,1995-08-02,21,2,2007-10-26
14,Thomas,Jenkins,9,2002-11-25,14,1,2012-03-05
15,Roger,Harrington,44,1970-05-26,46,1,2000-01-17
16,Mary,Barr,50,1992-09-25,24,2,2009-02-22
17,Elizabeth,Garcia,6,1969-08-26,47,2,2010-10-26
18,Scott,Mercado,17,1980-11-21,36,1,2008-04-11
19,Betty,Morrison,47,1995-04-03,21,2,2005-08-05
20,Amber,Smith,47,1992-03-18,24,2,2006-04-26
21,Susan,Avery,21,1973-10-29,43,2,2012-01-18
22,Ellen,Moore,20,1970-10-05,46,2,2008-11-26
23,Robert,Kidd,45,1969-06-25,47,1,2008-04-26
24,Karla,Schneider,16,1951-04-20,65,2,2006-10-17
25,Davis,Wallace,2,1966-03-06,51,1,2001-09-20
26,Johnnie,Thompson,20,1961-09-27,55,2,2013-06-05
27,Karen,Hickman,27,1986-11-08,30,2,2000-03-22
28,Timothy,Butler,20,1992-08-05,24,1,2007-01-03
29,Lillian,Watts,8,1968-07-05,48,2,2011-04-16
30,Jeff,Washington,27,1952-06-28,64,1,2013-07-27
31,Roy,Carrillo,2,1958-04-11,58,1,2012-01-31
32,Lindsay,Barr,27,1993-05-12,23,2,2015-04-01
33,Donna,Foster,16,1974-10-18,42,2,2001-04-17
34,Carmine,Mcdonald,6,1985-05-19,31,1,2010-11-22
