id,first_name,last_name,state,birthday,age,gender,acct_created_date
5,James,Johnson,OH,1966-12-27,50,M,2002-02-13
6,Charles,Brown,FL,1987-07-16,29,M,2005-03-17
9,George,Roberts,OH,1985-05-18,31,M,2013-09-17
11,Salvador,Watson,MN,1982-07-07,34,M,2008-09-30
14,Andrew,Lewis,ND,1981-10-16,35,M,2007-06-26
16,Ben,Thomas,LA,1996-05-04,20,M,2010-03-08
20,David,Ferguson,LA,1955-08-10,61,M,2005-06-03
21,Henry,Rogers,AK,1956-06-02,60,M,2000-04-12
26,George,Moore,ME,1994-02-07,23,M,2015-06-17
27,Russell,Dean,MD,1964-06-10,52,M,2007-06-08
29,Dino,Smith,OR,1971-09-21,45,M,2004-08-02
30,George,Rodriguez,TN,1951-08-25,65,M,2005-01-24
32,Craig,Lewis,ME,1984-07-27,32,M,2003-06-26
35,Thomas,Jones,FL,1974-02-28,43,M,2014-02-17
37,William,Morris,WA,1967-07-20,49,M,2012-06-26
39,Richard,Wolf,AR,1952-11-04,64,M,2010-05-17
41,Abraham,Cline,FL,1988-01-27,29,M,2000-04-07
43,Daniel,Britt,PA,1990-07-02,26,M,2001-12-18
46,Morgan,Martinez,NV,1981-02-04,36,M,2010-01-04
47,Kevin,Hammond,FL,1995-04-20,21,M,2012-11-29
49,Dean,Norton,SD,1955-03-02,62,M,2006-05-12
50,Joshua,Owens,GA,1955-02-09,62,M,2000-03-21
51,Keith,Lopez,GA,1953-03-22,63,M,2002-11-27
53,Ronald,Todd,VA,2002-10-30,14,M,2014-01-11
55,Gordon,Burnett,WA,1965-10-13,51,M,2003-09-02
56,Micheal,Snow,TN,1960-07-13,56,M,2007-10-28
59,Donald,Conway,HI,1970-08-27,46,M,2012-04-23
60,Clay,Wright,WV,1951-07-25,65,M,2002-08-19
63,David,Thornton,NE,1992-09-08,24,M,2005-11-22
65,Christopher,Manning,UT,1984-02-19,33,M,2005-11-07
70,Charles,Mooney,MS,1996-04-21,20,M,2014-09-27
73,Wilfredo,Scott,AR,1978-03-30,38,M,2009-10-08
75,Rene,Cortez,CA,1951-10-28,65,M,2014-01-13
80,Jon,Craft,VT,1958-11-26,58,M,2009-11-11
83,Dwight,Powers,MN,1982-12-28,34,M,2006-04-26
87,Paul,Delgado,OK,1982-10-02,34,M,2009-02-14
89,Manuel,Tillman,UT,1950-04-10,66,M,2003-02-08
90,Thomas,Webb,IL,1987-02-28,30,M,2005-12-19
91,Leroy,Randolph,VA,1980-02-22,37,M,2011-01-16
94,Winston,Vaughan,RI,1996-03-31,20,M,2006-03-25
96,Ralph,Short,CO,2004-02-08,13,M,2015-08-27
100,David,Munoz,MS,1982-11-15,34,M,2013-09-29
1,Brittany,Juarez,MA,1958-10-19,58,F,2010-12-14
2,Katherine,Reynolds,MT,1995-05-06,21,F,2007-12-16
3,Linda,May,MD,1971-05-23,45,F,2006-04-11
4,Joanne,Bryant,NC,1981-11-19,35,F,2001-09-17
7,Emma,Rodgers,IA,1963-09-17,53,F,2007-03-25
8,Michele,Cunningham,ME,1957-11-24,59,F,2010-12-17
10,Judy,Dominguez,IN,1954-02-01,63,F,2005-03-02
12,Audrey,Edwards,TN,1965-01-02,52,F,2006-08-06
13,Cynthia,Fleming,AL,1958-07-17,58,F,2001-02-25
15,Edith,West,CO,1960-08-07,56,F,2012-07-26
17,Rosemary,Gilbert,MO,1991-03-30,25,F,2002-08-13
18,Elizabeth,Snider,NY,1982-11-18,34,F,2009-11-19
19,Julia,Christensen,NC,1992-08-04,24,F,2004-11-23
22,Carolyn,Bailey,IN,1954-08-21,62,F,2011-01-06
23,Rachel,James,TX,1952-11-25,64,F,2011-11-28
24,Judith,Keith,TN,1997-02-08,20,F,2011-09-01
25,Alta,Miller,WA,1964-02-16,53,F,2009-09-24
28,Lisa,Jackson,NJ,1977-06-12,39,F,2012-06-20
31,Patrica,Velazquez,WI,1984-02-07,33,F,2015-03-31
33,Gina,Butler,WY,1966-11-29,50,F,2009-02-18
34,Teresa,Hunter,RI,1965-04-20,51,F,2014-09-02
36,Frances,Nelson,NJ,1968-07-31,48,F,2011-01-07
38,Julie,Martin,NE,1981-07-15,35,F,2009-05-25
40,Kathleen,Schneider,GA,1976-06-12,40,F,2013-10-14
